uf,espvida,fectot,mort1,razdep,e_anosestudo
Piaui,71.8,2.37,22.6,52.41,9.32
Piaui,72.22,02.05,21.5,58.2,09.06
Piaui,70.09,2.37,27.6,48.97,8.52
Piaui,70.92,2.53,25.1,57.55,7.82
Piaui,68.53,2.66,32.6,56.35,7.46
Piaui,71.86,02.01,22.4,53.72,09.08
Piaui,70.2,2.37,27.2,61.31,09.03
Piaui,71.64,2.69,23,62.47,8.97
Piaui,71.04,2.47,24.7,54.59,8.73
Piaui,71.57,2.12,23.2,56.51,8.64
Piaui,68.7,02.08,32,63.13,7.89
Piaui,69.62,2.28,29,56.23,8.1
Piaui,69.6,2.48,29.1,64.75,08.09
Piaui,71.7,2.46,22.9,53.97,8.97
Piaui,69.68,2.51,28.8,55.6,8.94
Piaui,69.25,2.19,30.2,60.57,09.03
Piaui,68.77,2.28,31.8,53.02,8.18
Piaui,67,2.51,38,56.57,8.3
Piaui,71.31,3.17,24,62.56,9.79
Piaui,70.47,1.99,26.4,54.88,8.71
Piaui,67.02,2.61,37.9,59.17,8.63
Piaui,68.02,2.39,34.4,57.23,8.91
Piaui,68.79,02.04,31.7,58.27,08.09
Piaui,71.74,2.93,22.8,61.6,9.14
Piaui,69.5,2.65,29.4,68.59,7.69
Piaui,71.89,2.75,22.4,60.44,9.33
Piaui,71.29,1.99,24,59.68,8.24
Piaui,71.87,2.11,22.4,54.82,9.87
Piaui,69.36,2.38,29.8,51.05,7.37
Piaui,71.1,2.84,24.6,63.2,8.69
Piaui,71.46,03.04,23.6,65.84,8.94
Piaui,69.5,2.47,29.4,59.96,9.45
Piaui,71.61,03.06,23.1,64.51,8
Piaui,67.41,2.26,36.5,59.5,9.88
Piaui,71.78,2.66,22.6,60.14,10.15
Piaui,71.8,1.86,22.6,52.94,9.56
Piaui,68.92,2.93,31.3,62.64,7.45
Piaui,71.49,2.23,23.5,55.45,8.85
Piaui,67.13,02.01,37.6,53.56,7.96
Piaui,70.19,2.13,27.3,55.25,9.23
Piaui,69.73,2.64,28.7,65.89,10.2
Piaui,66.95,2.16,38.2,53.14,9.2
Piaui,68.28,2.16,33.4,58.99,8.88
Piaui,68.9,2.87,31.4,58.11,10.1
Piaui,67.26,2.82,37.1,61.32,8.43
Piaui,71.57,2.45,23.2,65.01,8.67
Piaui,68.88,2.4,31.4,53.48,7.24
Piaui,71.64,2.91,23,64.39,7.71
Piaui,73.98,1.72,16.83,48.88,10.09
Piaui,70.46,2.19,26.4,56.92,8.22
Piaui,70.28,02.02,27,56.31,8.52
Piaui,69.5,2.35,29.4,62.99,7.81
Piaui,71,02.05,24.9,57.23,8.61
Piaui,69.85,2.76,28.3,55.67,8.18
Piaui,70.99,02.04,24.9,61.74,8.66
Piaui,69.74,2.7,28.7,58.36,8.63
Piaui,71.17,2.72,24.4,59.44,9.11
Piaui,73,1.87,24.07,44.01,9.48
Piaui,71.43,2.47,23.6,57.66,8.39
Piaui,70.47,2.14,26.4,54.14,9.42
Piaui,71.21,02.04,24.2,53.35,9.31
Piaui,71.51,02.01,23.4,52.82,9.96
Piaui,70.47,2.84,26.4,68.99,08.06
Piaui,68.93,2.96,31.2,57.96,8.64
Piaui,70.84,2.22,25.3,63.14,09.04
Piaui,70.45,1.69,26.5,54,7.57
Piaui,70.98,2.83,24.9,63.93,8.89
Piaui,67.85,2.62,34.9,56.79,9.36
Piaui,70.67,2.85,25.8,60.95,7.71
Piaui,70.48,2.76,26.4,57.36,8.65
Piaui,72.22,03.04,21.5,62.86,8.18
Piaui,71.03,2.31,24.8,57.81,7.94
Piaui,68.22,2.14,33.6,52.54,9.56
Piaui,68.14,2.39,33.9,57.75,09.03
Piaui,72.34,3.18,21.2,67.2,6.72
Piaui,71.1,2.42,24.6,59.98,8.87
Piaui,69.16,2,30.5,52.13,8.93
Piaui,66.96,2.26,38.2,57.9,10.22
Piaui,67.21,2.1,37.2,52.93,7.16
Piaui,71.57,2.13,23.2,64.19,9.93
Piaui,71.55,2.19,23.3,50.81,9.76
Piaui,71.23,02.07,24.2,54.81,8.63
Piaui,69.52,02.09,29.3,55.44,9.52
Piaui,69.04,02.09,30.9,59.28,7.26
Piaui,69.64,2.17,29,61.99,9.38
Piaui,67.06,2.64,37.8,63.01,8.15
Piaui,69.34,2.43,29.9,58.52,9.76
Piaui,68.55,2.24,32.5,60.18,7.84
Piaui,70.18,2.47,27.3,66.81,08.04
Piaui,70.39,2.26,26.6,57.15,9.24
Piaui,67.46,2.21,36.4,59.61,9.57
Piaui,68.2,2.69,33.7,63.17,9.9
Piaui,71.16,2.13,24.4,54.96,10.14
Piaui,71.5,1.83,23.4,48.44,8.81
Piaui,70.96,2.81,25,64.44,8.59
Piaui,67.02,2.24,37.9,57,9.12
Piaui,71.47,1.92,23.5,52.35,7.89
Piaui,70.17,2.14,27.3,50.94,8.38
Piaui,70.44,1.71,26.5,59.96,7.85
Piaui,71.45,02.01,23.6,55.95,08.06
Piaui,69.83,2.58,28.4,66.82,08.02
Piaui,71.8,2.2,22.6,57.58,8.95
Piaui,71.57,2.43,23.2,61.54,9.44
Piaui,71.75,2.19,22.8,51.03,9.82
Piaui,71.21,2.96,24.3,63.38,7.51
Piaui,69.18,2.62,30.4,55.61,9.54
Piaui,70.85,2.63,25.3,53.93,8.77
Piaui,71.24,2.23,24.2,64.24,7.84
Piaui,71.01,02.02,24.8,52.9,9.56
Piaui,69.35,2.78,29.9,58.06,8.23
Piaui,69.94,1.69,28,49.59,8.43
Piaui,66.1,2.32,41.5,58.04,6.82
Piaui,67.21,2.5,37.2,57.64,8.22
Piaui,74.22,1.42,16.13,41.23,10.36
Piaui,71.86,2.34,22.4,59.55,8.57
Piaui,72.63,02.05,20.4,54.79,8.2
Piaui,71.4,1.67,23.7,52.52,9.52
Piaui,69.57,2.67,29.2,59.93,7.94
Piaui,67.49,1.86,36.2,55.92,9.14
Piaui,66.1,2.45,41.5,55.68,8.5
Piaui,66.1,1.89,41.5,43.73,7.63
Piaui,67.49,2.18,36.2,55.07,9.38
